name,price_full_33cm,price_half_33cm,price_third_33cm,price_quarter_33cm,price_full_24cm,price_half_24cm
Aceitunas negras,"2,00","1,00","0,75","0,50","1,50","0,8"
Aceitunas verdes,"2,00","1,00","0,75","0,50","1,50","0,8"
Catupiry,"4,00","3,00","2,00","1,50","3,00","2,00"
Calabresa,"5,00","3,50","3,00","2,00","4,00","2,50"
Atún,"3,00","2,00","1,80","1,50","2,50","1,50"
Bacon,"4,00","3,00","2,00","1,50","3,00","2,00"
Cebolla caramelizada,"2,50","1,50","1,30","1,00","2,00","1,50"
Cebolla morada,"2,00","1,50","1,30","1,00","1,50","1,00"
Champiñones,"3,00","2,00","1,50","1,00","2,50","1,50"
Cheddar,"3,00","2,00","1,50","1,00","2,50","1,50"
Chorizo ibérico,"4,00","3,00","2,00","1,50","3,00","2,00"
Gorgonzola,"3,00","2,00","1,50","1,00","2,50","1,50"
Brócoli,"2,50","1,50","1,30","1,00","2,00","1,50"
Huevo cocido,"3,00","2,00","1,50","1,00","2,50","1,50"
Jamón dulce,"3,00","2,00","1,50","1,00","2,50","1,50"
Maíz dulce,"2,00","1,50","1,30","1,00","1,50","1,00"
Mozzarella extra,"3,00","2,00","1,80","1,50","2,50","1,50"
Pepperoni,"3,00","2,00","1,80","1,50","2,00","1,50"
Cebolla Frita,"3,00","2,00","1,80","1,50","2,00","1,50"
Pimiento verde,"2,00","1,50","1,30","1,00","1,50","1,00"
Piña,"2,00","1,50","1,30","1,00","1,50","1,00"
Pollo,"5,00","3,50","2,50","2,00","3,00","2,00"
Provolone,"3,00","2,00","1,80","1,50","2,50","1,50"
Rúcula,"2,00","1,50","1,30","1,00","1,50","1,00"
Salsa barbacoa,"2,00","1,50","1,30","1,00","1,50","1,00"
Tiras de ternera,"5,00","3,50","2,50","2,00","3,00","2,00"
Tomate cherry,"2,00","1,50","1,30","1,00","1,50","1,00"
Tomate seco,"3,00","2,00","1,80","1,50","2,00","1,50"
MMS,"3,00","2,00","1,80","1,50","2,00","1,50"
