Nombre,Precio 33cm (€),Precio 24cm (€)
"Pizza Strogonoff","18.90",""
"Pizza Cuatro Quesos","14.90",""
"Pizza Amsterdam","18.90",""
"Pizza Argentina","18.90",""
"Pizza Carioca","16.90",""
"Pizza Granjera","14.90",""
"Pizza Campera","18.90",""
"Pizza Calabresa","18.90",""
"Pizza Del Chef","20.90",""
"Pizza Picaña","17.90",""
"Pizza La Mafia","16.90",""
"Pizza Hawaiana Fuego","13.90",""
"Pizza Mafiosa","19.90",""
"Pizza Marguerita","11.90",""
"Pizza Mozzarella","13.90",""
"Pizza Portuguesa","16.90",""
"Pizza Tomate Seco","11.90",""
"Pizza Calabresa Especial","20.90",""
"Pizza Vegetariana","13.90",""
"Pizza Crujiente","18.90",""
"Pizza Ruffles","16.90",""
"Pizza Pizzaiolo","18.90",""
"Pizza Pepperoni","13.90",""
"Pizza Carnívora","17.90",""
"Pizza Putanesca","14.90",""
"Pizza Atún","14.90",""
"Pizza Ibérica","16.90",""
"Pizza Funghi","14.90",""
"Pizza Catalana","13.90",""
"Pizza Barbacoa","16.90",""
"Pizza Frango Catupiry","18.90",""
"Pizza Caprese","13.90",""
"Pizza Doritos","17.90",""
"Pizza Piña Nevada","15.90",""
"Pizza Dubai","18.90",""
"Pizza Sensación","17.90",""
"Pizza Uva Trufada","17.90",""
"Pizza M&Ms","18.90",""
"Pizza Banana y Canela","10.90",""
