name,price_full,price_half,price_quarter
Aceite de trufa,2.50,1.50,0.90
Aceitunas negras,1.50,0.90,0.50
Aceitunas verdes,1.50,0.90,0.50
Alcaparras,1.50,0.90,0.50
Alioli,1.50,0.90,0.50
Anchoas,3.00,1.80,1.00
Atún,2.00,1.20,0.70
Bacon,2.50,1.50,0.90
Cebolla caramelizada,2.00,1.20,0.70
Cebolla morada,1.50,0.90,0.50
Champiñones,2.00,1.20,0.70
Cheddar,2.00,1.20,0.70
Chorizo ibérico,3.50,2.00,1.20
Gorgonzola,2.50,1.50,0.90
Guisantes,1.50,0.90,0.50
Huevo cocido,2.00,1.20,0.70
Jamón dulce,2.00,1.20,0.70
Maíz dulce,1.50,0.90,0.50
Mozzarella extra,2.50,1.50,0.90
Pepperoni,2.00,1.20,0.70
Perlas de mozzarella,3.00,1.80,1.00
Pimiento verde,1.50,0.90,0.50
Piña,1.50,0.90,0.50
Pollo,3.50,2.00,1.20
Provolone,2.00,1.20,0.70
Rúcula,1.50,0.90,0.50
Salsa barbacoa,1.50,0.90,0.50
Ternera,4.00,2.40,1.40
Tomate cherry,1.50,0.90,0.50
Tomate seco,2.00,1.20,0.70
